X,Y,sample.id,first.yr,last.yr,n.yr.obs,trend.period,si,slope,intercept,tau,pval,total.change,total.change.pcnt,trend.cat
-53.4661278,69.2968984,blaesedalen_125,2000,2020,"20",2000to2020,ndvi.max,-0.00048,0.5512,-0.041,0.8337,-0.01,-1.8,no_trend
-53.4653689,69.2968829,blaesedalen_126,2000,2020,"21",2000to2020,ndvi.max,-0.00134,0.4977,-0.116,0.4957,-0.028,-5.6,no_trend
-53.46461,69.2968674,blaesedalen_127,2000,2020,"21",2000to2020,ndvi.max,-0.00049,0.607,-0.042,0.8203,-0.01,-1.6,no_trend
-53.4638511,69.2968519,blaesedalen_128,2000,2020,"20",2000to2020,ndvi.max,-0.00236,0.6288,-0.251,0.1417,-0.05,-8,no_trend
-53.4630921,69.2968363,blaesedalen_129,2000,2020,"21",2000to2020,ndvi.max,0.00106,0.5561,0.053,0.7703,0.022,4,no_trend
-53.4679664,69.2996302,blaesedalen_13,2000,2020,"19",2000to2020,ndvi.max,-0.00317,0.4397,-0.438,0.0124,-0.067,-15.2,browning
-53.4707252,69.2967229,blaesedalen_130,2000,2020,"19",2000to2020,ndvi.max,0.00081,0.3953,0.111,0.5445,0.017,4.3,no_trend
-53.4699663,69.2967074,blaesedalen_131,2000,2020,"19",2000to2020,ndvi.max,-0.00021,0.4634,-0.033,0.8796,-0.004,-0.9,no_trend
-53.4692074,69.2966919,blaesedalen_132,2000,2020,"18",2000to2020,ndvi.max,0.00142,0.3925,0.206,0.2661,0.03,7.6,no_trend
-53.4684484,69.2966764,blaesedalen_133,2000,2020,"20",2000to2020,ndvi.max,-0.00209,0.5035,-0.275,0.1075,-0.044,-8.7,no_trend
-53.4676895,69.2966609,blaesedalen_134,2000,2020,"19",2000to2020,ndvi.max,-1e-05,0.5851,-0.007,1,-0,-0,no_trend
-53.4669306,69.2966454,blaesedalen_135,2000,2020,"20",2000to2020,ndvi.max,-0.00123,0.4865,-0.251,0.1417,-0.026,-5.3,no_trend
-53.4661717,69.2966299,blaesedalen_136,2000,2020,"20",2000to2020,ndvi.max,-0.00075,0.5331,-0.099,0.5756,-0.016,-3,no_trend
