"";"id";"geometry";"ndvi.max";"ndvi.max.doy";"ndvi.pred.doy";"ndvi.max.date"
"907";907;c(639485, 7691565);0,564257012757345;228;177;1970-08-16
"908";908;c(639495, 7691565);0,55502976941268;229;177;1970-08-17
"909";909;c(639505, 7691565);0,526689849673149;230;177;1970-08-18
"910";910;c(639515, 7691565);0,489247627098571;228;177;1970-08-16
"911";911;c(639175, 7691555);0,325339359897585;231;177;1970-08-19
"912";912;c(639185, 7691555);0,32565118144065;229;177;1970-08-17
"913";913;c(639195, 7691555);0,372878290918752;229;177;1970-08-17
"914";914;c(639205, 7691555);0,382087579599693;229;177;1970-08-17
"915";915;c(639215, 7691555);0,384281690653512;232;177;1970-08-20
"916";916;c(639225, 7691555);0,384326138249141;231;177;1970-08-19
"917";917;c(639235, 7691555);0,379165261045413;231;177;1970-08-19
"918";918;c(639245, 7691555);0,372789699507689;229;177;1970-08-17
"919";919;c(639255, 7691555);0,391691190817967;228;177;1970-08-16
"920";920;c(639265, 7691555);0,388132548908479;225;177;1970-08-13
"921";921;c(639275, 7691555);0,386907284644192;226;177;1970-08-14
"922";922;c(639285, 7691555);0,360161032016322;226;177;1970-08-14
"923";923;c(639295, 7691555);0,334828549582038;225;177;1970-08-13
"924";924;c(639305, 7691555);0,378098085631064;223;177;1970-08-11
"925";925;c(639315, 7691555);0,450185223874438;226;177;1970-08-14
"926";926;c(639325, 7691555);0,436211743304556;227;177;1970-08-15
"927";927;c(639335, 7691555);0,406979308264843;224;177;1970-08-12
"928";928;c(639345, 7691555);0,435305819923648;223;177;1970-08-11
"929";929;c(639355, 7691555);0,445975058371925;225;177;1970-08-13
"930";930;c(639365, 7691555);0,409476068254944;226;177;1970-08-14
"931";931;c(639375, 7691555);0,402303374484401;230;177;1970-08-18
"932";932;c(639385, 7691555);0,394462551119734;229;177;1970-08-17
"933";933;c(639395, 7691555);0,414669618832521;227;177;1970-08-15
"934";934;c(639405, 7691555);0,464010148922839;225;177;1970-08-13
"935";935;c(639415, 7691555);0,449227388572523;225;177;1970-08-13
"936";936;c(639425, 7691555);0,411012860202344;225;177;1970-08-13
"937";937;c(639435, 7691555);0,390234551156449;225;177;1970-08-13
"938";938;c(639445, 7691555);0,338402180713595;225;177;1970-08-13
"939";939;c(639455, 7691555);0,33808654250012;219;177;1970-08-07
"940";940;c(639465, 7691555);0,392132995078211;221;177;1970-08-09
"941";941;c(639475, 7691555);0,478849116733211;225;177;1970-08-13
"942";942;c(639485, 7691555);0,548199365336208;227;177;1970-08-15
"943";943;c(639495, 7691555);0,544233725782193;229;177;1970-08-17
"944";944;c(639505, 7691555);0,527054925677412;230;177;1970-08-18
"945";945;c(639515, 7691555);0,507786199128498;230;177;1970-08-18
"946";946;c(639175, 7691545);0,332440157094449;232;177;1970-08-20
"947";947;c(639185, 7691545);0,31917775266227;228;177;1970-08-16
"948";948;c(639195, 7691545);0,36737692654484;231;177;1970-08-19
"949";949;c(639205, 7691545);0,373182279894594;233;177;1970-08-21
"950";950;c(639215, 7691545);0,338074363705049;233;177;1970-08-21
"951";951;c(639225, 7691545);0,318393643840306;228;177;1970-08-16
"952";952;c(639235, 7691545);0,33495398862824;228;177;1970-08-16
"953";953;c(639245, 7691545);0,333575369442133;228;177;1970-08-16
"954";954;c(639255, 7691545);0,35545247319577;226;177;1970-08-14
"955";955;c(639265, 7691545);0,380643365032273;224;177;1970-08-12
"956";956;c(639275, 7691545);0,404891108119257;225;177;1970-08-13
"957";957;c(639285, 7691545);0,406334628463113;226;177;1970-08-14
"958";958;c(639295, 7691545);0,380673809955531;226;177;1970-08-14
"959";959;c(639305, 7691545);0,390501361983457;223;177;1970-08-11
"960";960;c(639315, 7691545);0,438780331591186;224;177;1970-08-12
"961";961;c(639325, 7691545);0,440979922171864;225;177;1970-08-13
"962";962;c(639335, 7691545);0,422348923017112;226;177;1970-08-14
"963";963;c(639345, 7691545);0,414335007719491;226;177;1970-08-14
"964";964;c(639355, 7691545);0,402164851446198;226;177;1970-08-14
"965";965;c(639365, 7691545);0,384914187804741;227;177;1970-08-15
"966";966;c(639375, 7691545);0,389355944492755;230;177;1970-08-18
"967";967;c(639385, 7691545);0,376216017732282;230;177;1970-08-18
"968";968;c(639395, 7691545);0,395250371170094;225;177;1970-08-13
"969";969;c(639405, 7691545);0,460138416956481;224;177;1970-08-12
"970";970;c(639415, 7691545);0,458068809271958;225;177;1970-08-13
"971";971;c(639425, 7691545);0,438215411022686;224;177;1970-08-12
"972";972;c(639435, 7691545);0,429209998757424;223;177;1970-08-11
"973";973;c(639445, 7691545);0,404875927844828;222;177;1970-08-10
"974";974;c(639455, 7691545);0,406100362764161;219;177;1970-08-07
"975";975;c(639465, 7691545);0,437147098754845;221;177;1970-08-09
"976";976;c(639475, 7691545);0,495262266715179;225;177;1970-08-13
"977";977;c(639485, 7691545);0,53263473933004;227;177;1970-08-15
"978";978;c(639495, 7691545);0,521548393470861;228;177;1970-08-16
"979";979;c(639505, 7691545);0,524846716251509;228;177;1970-08-16
"980";980;c(639515, 7691545);0,526854887605882;229;177;1970-08-17
"981";981;c(639175, 7691535);0,287795032399361;231;177;1970-08-19
"982";982;c(639185, 7691535);0,295931647777851;231;177;1970-08-19
"983";983;c(639195, 7691535);0,327871208451931;232;177;1970-08-20
"984";984;c(639205, 7691535);0,325648138709317;232;177;1970-08-20
"985";985;c(639215, 7691535);0,296354324366928;230;177;1970-08-18
"986";986;c(639225, 7691535);0,34817947095279;224;177;1970-08-12
"987";987;c(639235, 7691535);0,378526405688694;226;177;1970-08-14
"988";988;c(639245, 7691535);0,339677092436511;224;177;1970-08-12
"989";989;c(639255, 7691535);0,327793888642571;224;177;1970-08-12
"990";990;c(639265, 7691535);0,346791770646693;224;177;1970-08-12
"991";991;c(639275, 7691535);0,38765858613577;224;177;1970-08-12
"992";992;c(639285, 7691535);0,416128775548892;226;177;1970-08-14
"993";993;c(639295, 7691535);0,40516792487768;225;177;1970-08-13
"994";994;c(639305, 7691535);0,40630124719821;226;177;1970-08-14
"995";995;c(639315, 7691535);0,425635019554435;226;177;1970-08-14
"996";996;c(639325, 7691535);0,431915392761891;227;177;1970-08-15
"997";997;c(639335, 7691535);0,422219337796451;229;177;1970-08-17
"998";998;c(639345, 7691535);0,390683471762193;230;177;1970-08-18
"999";999;c(639355, 7691535);0,363308113106055;227;177;1970-08-15
"1000";1000;c(639365, 7691535);0,364628496703116;228;177;1970-08-16
"1001";1001;c(639375, 7691535);0,365221238025856;229;177;1970-08-17
"1002";1002;c(639385, 7691535);0,353067615591039;227;177;1970-08-15
"1003";1003;c(639395, 7691535);0,386708263115942;222;177;1970-08-10
"1004";1004;c(639405, 7691535);0,45846668568345;224;177;1970-08-12
"1005";1005;c(639415, 7691535);0,468286242344274;224;177;1970-08-12
"1006";1006;c(639425, 7691535);0,459398825325145;222;177;1970-08-10
"1007";1007;c(639435, 7691535);0,470053928609654;222;177;1970-08-10
"1008";1008;c(639445, 7691535);0,466950722726714;221;177;1970-08-09
"1009";1009;c(639455, 7691535);0,462010888219407;221;177;1970-08-09
"1010";1010;c(639465, 7691535);0,481533175019748;222;177;1970-08-10
"1011";1011;c(639475, 7691535);0,523171641774538;226;177;1970-08-14
"1012";1012;c(639485, 7691535);0,533394596523119;228;177;1970-08-16
"1013";1013;c(639495, 7691535);0,521110430032642;228;177;1970-08-16
"1014";1014;c(639505, 7691535);0,54224297195805;227;177;1970-08-15
"1015";1015;c(639515, 7691535);0,559653763618101;229;177;1970-08-17
"1016";1016;c(639175, 7691525);0,270853219791983;230;177;1970-08-18
"1017";1017;c(639185, 7691525);0,28456834164195;233;177;1970-08-21
"1018";1018;c(639195, 7691525);0,27322041348054;232;177;1970-08-20
