"","ID","quality_score"
"241","LC08_L1TP_012011_20210711_20210720_02_T1",NA
"242","LC08_L1TP_012011_20210727_20210804_02_T1",NA
"243","LC08_L1TP_012011_20210828_20210901_02_T1",NA
"244","LC08_L1TP_012011_20220628_20220706_02_T1",NA
"245","LC08_L1TP_012011_20220714_20220725_02_T1",NA
"246","LC08_L1TP_012011_20230802_20230811_02_T1",NA
"247","LC08_L1TP_013011_20140613_20200911_02_T1",NA
"248","LC08_L1TP_013011_20140715_20200911_02_T1",NA
"249","LC08_L1TP_013011_20150718_20201015_02_T1",NA
"250","LC08_L1TP_013011_20160602_20200906_02_T1",NA
"251","LC08_L1TP_013011_20160618_20200906_02_T1",NA
"252","LC08_L1TP_013011_20160805_20200906_02_T1",NA
"253","LC08_L1TP_013011_20160821_20200906_02_T1",NA
"254","LC08_L1TP_013011_20170707_20200903_02_T1",NA
"255","LC08_L1TP_013011_20170723_20200903_02_T1",NA
"256","LC08_L1TP_013011_20180827_20200831_02_T1",NA
"257","LC08_L1TP_013011_20190611_20200828_02_T1",NA
"258","LC08_L1TP_013011_20190627_20200827_02_T1",NA
"259","LC08_L1TP_013011_20190729_20200827_02_T1",NA
"260","LC08_L1TP_013011_20190814_20200827_02_T1",NA
"261","LC08_L1TP_013011_20190830_20200826_02_T1",NA
"262","LC08_L1TP_013011_20200613_20200823_02_T1",NA
"263","LC08_L1TP_013011_20200816_20200920_02_T1",NA
"264","LC08_L1TP_013011_20210718_20210729_02_T1",NA
"265","LC08_L1TP_013011_20220603_20220610_02_T1",NA
"266","LC08_L1TP_013011_20220619_20220630_02_T1",NA
"267","LC08_L1TP_013011_20220705_20220721_02_T1",NA
"268","LC08_L1TP_013011_20230708_20230718_02_T1",NA
"269","LC08_L1TP_013011_20230724_20230803_02_T1",NA
"270","LC08_L1GT_012011_20140809_20200911_02_T2",NA
"271","LC08_L1GT_012011_20170817_20200903_02_T2",NA
"272","LC08_L1GT_013011_20140816_20200911_02_T2",NA
"273","LC08_L1GT_013011_20170824_20200903_02_T2",NA
